rank,team,points,points_change,confederation
1,France,1877.32,+3.36,UEFA
2,Spain,1876.40,-2.73,UEFA
3,Argentina,1874.81,+0.86,CONMEBOL
4,England,1825.97,-6.65,UEFA
5,Portugal,1763.83,+4.22,UEFA
6,Brazil,1761.16,+4.67,CONMEBOL
7,Netherlands,1757.87,-1.54,UEFA
8,Morocco,1755.87,+2.79,CAF
9,Belgium,1734.71,-0.52,UEFA
10,Germany,1730.37,+1.89,UEFA
11,Croatia,1717.07,-4.67,UEFA
12,Italy,1700.37,-7.08,UEFA
13,Colombia,1693.09,-3.36,CONMEBOL
14,Senegal,1688.99,+1.17,CAF
15,Mexico,1681.03,+0.52,CONCACAF
16,USA,1673.13,-4.22,CONCACAF
17,Uruguay,1673.07,-1.05,CONMEBOL
18,Japan,1660.43,+6.65,AFC
19,Switzerland,1649.40,-0.95,UEFA
20,Denmark,1620.81,-3.10,UEFA
21,IR Iran,1615.30,+3.62,AFC
22,Türkiye,1599.04,+6.60,UEFA
23,Ecuador,1594.78,+1.54,CONMEBOL
24,Austria,1593.45,+5.05,UEFA
25,Korea Republic,1588.66,-5.05,AFC
26,Nigeria,1585.09,-1.81,CAF
27,Australia,1580.67,+2.54,AFC
28,Algeria,1564.26,+1.05,CAF
29,Egypt,1563.24,+2.73,CAF
30,Canada,1556.48,-0.71,CONCACAF
31,Norway,1550.94,+0.95,UEFA
32,Ukraine,1546.88,+3.58,UEFA
33,Panama,1540.64,+4.03,CONCACAF
34,Côte d'Ivoire,1532.98,+4.76,CAF
35,Poland,1528.00,-13.46,UEFA
36,Russia,1525.60,-0.65,UEFA
37,Wales,1524.29,-1.53,UEFA
38,Sweden,1514.77,+13.46,UEFA
39,Serbia,1508.65,+4.25,UEFA
40,Paraguay,1503.50,-2.79,CONMEBOL
41,Czechia,1501.38,+9.35,UEFA
42,Hungary,1500.58,-0.24,UEFA
43,Scotland,1498.35,-4.76,UEFA
44,Tunisia,1483.05,+0.71,CAF
45,Cameroon,1481.24,+2.98,CAF
46,Congo DR,1478.35,+10.13,CAF
47,Greece,1475.82,+0.24,UEFA
48,Slovakia,1473.94,+4.88,UEFA
49,Venezuela,1468.05,-0.03,CONMEBOL
50,Uzbekistan,1465.34,+0.03,AFC
51,Costa Rica,1459.90,-3.62,CONCACAF
52,Mali,1459.13,+0.65,CAF
53,Peru,1455.87,-0.73,CONMEBOL
54,Chile,1455.28,-6.72,CONMEBOL
55,Qatar,1454.96,,AFC
56,Romania,1451.16,-4.88,UEFA
57,Iraq,1447.14,+10.19,AFC
58,Slovenia,1446.44,+3.66,UEFA
59,Republic of Ireland,1436.63,-0.63,UEFA
60,South Africa,1429.73,-4.03,CAF
61,Saudi Arabia,1421.43,-4.25,AFC
62,Burkina Faso,1412.49,-2.66,CAF
63,Jordan,1391.45,+1.81,AFC
64,Albania,1388.06,-3.58,UEFA
65,Bosnia and Herzegovina,1385.84,+13.33,UEFA
66,Honduras,1380.27,+0.73,CONCACAF
67,North Macedonia,1372.04,+0.63,UEFA
68,United Arab Emirates,1370.47,,AFC
69,Cabo Verde,1366.13,-0.19,CAF
70,Northern Ireland,1362.16,+1.53,UEFA
71,Jamaica,1358.00,-10.13,CONCACAF
74,Ghana,,,CAF
82,Curaçao,,,CONCACAF
83,Haiti,,,CONCACAF
85,New Zealand,,,OFC
