variant,canonical
USA,United States
United States of America,United States
Korea Republic,South Korea
Republic of Korea,South Korea
South Korea,South Korea
IR Iran,Iran
Islamic Republic of Iran,Iran
Iran,Iran
Czechia,Czechia
Czech Republic,Czechia
Türkiye,Türkiye
Turkey,Türkiye
Turkiye,Türkiye
Cote d'Ivoire,Côte d'Ivoire
Ivory Coast,Côte d'Ivoire
Côte d'Ivoire,Côte d'Ivoire
Cabo Verde,Cape Verde
Cape Verde,Cape Verde
DR Congo,DR Congo
Congo DR,DR Congo
Democratic Republic of the Congo,DR Congo
Bosnia,Bosnia and Herzegovina
Bosnia-Herzegovina,Bosnia and Herzegovina
Bosnia and Herzegovina,Bosnia and Herzegovina
North Macedonia,North Macedonia
Macedonia,North Macedonia
FYR Macedonia,North Macedonia
England,England
Great Britain,England
United Kingdom,England
