match_id,group,home_team,away_team,date_utc,venue,round,multiplier,stadium,city,country,altitude_m,avg_june_temp_c,avg_june_humidity_pct,roof_covered,home_is_host,away_is_host,home_fifa_rank,home_fifa_points,home_confederation,home_fifa_rank_date,home_matches_played,home_avg_goals_for,home_avg_goals_against,home_win_rate,home_draw_rate,home_last_match,home_polymarket_win_prob,home_volume,home_liquidity,home_shootouts_played,home_shootouts_won,home_shootout_win_rate,home_wc22_avg_corners,home_wc22_avg_yellows,home_wc22_avg_reds,home_wc22_avg_fouled,home_wc22_avg_possession,home_wc22_avg_shots,home_wc22_avg_offsides,home_wc22_matches,away_fifa_rank,away_fifa_points,away_confederation,away_fifa_rank_date,away_matches_played,away_avg_goals_for,away_avg_goals_against,away_win_rate,away_draw_rate,away_last_match,away_polymarket_win_prob,away_volume,away_liquidity,away_shootouts_played,away_shootouts_won,away_shootout_win_rate,away_wc22_avg_corners,away_wc22_avg_yellows,away_wc22_avg_reds,away_wc22_avg_fouled,away_wc22_avg_possession,away_wc22_avg_shots,away_wc22_avg_offsides,away_wc22_matches,rank_diff,points_diff,pm_prob_diff,form_gf_diff,form_ga_diff,win_rate_diff,expected_corners,expected_yellows,expected_reds,high_altitude,very_high_altitude,h2h_played,h2h_home_gd,h2h_avg_gd
1,A,Mexico,South Africa,2026-06-11 19:00:00+00:00,"Estadio Azteca, Mexico City",Group,1,Estadio Azteca,Mexico City,MX,2240,18,50,0,1,0,15.0,1681.03,CONCACAF,2026-05-26,20,2.25,0.7,0.7,0.15,9/9/2009,0.0105,24788460.52769668,2479147.85007,5.0,4.0,0.8,5.333333333333333,2.333333333333333,0.0,17.0,0.0,14.0,4.333333333333333,3.0,60.0,1429.73,CAF,2026-05-26,20,1.2,1.05,0.3,0.35,9/9/2025,0.0005,31254330.307894263,8729778.81492,21.0,9.0,0.4285714285714285,4.636904761904762,1.8422619047619047,0.0357142857142857,13.630952380952381,0.0,9.866071428571429,2.095238095238095,,45.0,251.29999999999995,0.01,1.05,-0.3500000000000001,0.39999999999999997,9.970238095238095,4.175595238095237,0.0357142857142857,1,1,4,1.0,0.25
2,A,South Korea,Czechia,2026-06-12 02:00:00+00:00,"Estadio Akron, Guadalajara",Group,1,Estadio Akron,Guadalajara,MX,1560,23,55,0,0,0,25.0,1588.66,AFC,2026-05-26,20,3.15,0.55,0.7,0.25,9/8/2015,0.0025,28711267.597339444,6347710.1918,5.0,3.0,0.6,6.0,1.5,0.0,11.25,0.0,12.25,1.75,4.0,41.0,1501.38,UEFA,2026-05-26,20,1.9,1.0,0.55,0.1,9/9/2014,0.0025,11350709.90824748,7604753.88979,2.0,2.0,1.0,5.373809523809523,1.278042328042328,0.022222222222222223,11.536772486772486,0.0,12.646296296296295,2.011904761904762,,16.0,87.27999999999997,0.0,1.25,-0.44999999999999996,0.1499999999999999,11.373809523809523,2.778042328042328,0.022222222222222223,1,1,4,-4.0,-1.0
3,B,Canada,Bosnia and Herzegovina,2026-06-12 19:00:00+00:00,"BMO Field, Toronto",Group,1,BMO Field,Toronto,CA,76,22,64,0,1,0,30.0,1556.48,CONCACAF,2026-05-26,20,2.0,1.15,0.4,0.25,9/9/2018,0.0035,28311657.534684703,8661889.89084,4.0,1.0,0.25,4.0,2.6666666666666665,0.0,11.0,0.0,11.666666666666666,2.6666666666666665,3.0,65.0,1385.84,UEFA,2026-05-26,20,1.9,1.6,0.35,0.15,9/9/2025,0.0025,12691500.810334688,9788254.94945,4.0,3.0,0.75,5.373809523809523,1.278042328042328,0.022222222222222223,11.536772486772486,0.0,12.646296296296295,2.011904761904762,,35.0,170.6400000000001,0.001,0.10000000000000009,-0.4500000000000002,0.050000000000000044,9.373809523809523,3.9447089947089946,0.022222222222222223,0,0,1,-0.0,-0.0
4,D,United States,Paraguay,2026-06-13 01:00:00+00:00,"SoFi Stadium, Los Angeles",Group,1,SoFi Stadium,Los Angeles,US,60,22,70,1,1,0,16.0,1673.13,CONCACAF,2026-05-26,20,1.5,0.9,0.5,0.3,9/9/2009,0.0115,38791939.48672227,5635312.92356,5.0,3.0,0.6,5.5,1.25,0.0,11.25,0.0,11.5,1.25,4.0,40.0,1503.5,CONMEBOL,2026-05-26,20,1.45,0.95,0.5,0.3,9/9/2025,0.0025,24752587.164427843,6704407.0279,6.0,4.0,0.6666666666666666,4.826190476190476,1.788095238095238,0.0,13.721428571428572,0.0,13.130952380952381,2.138095238095238,,24.0,169.6300000000001,0.009,0.050000000000000044,-0.04999999999999993,0.0,10.326190476190476,3.038095238095238,0.0,0,0,9,4.0,0.4444444444444444
5,D,Australia,Türkiye,2026-06-13 04:00:00+00:00,"BC Place, Vancouver",Group,1,BC Place,Vancouver,CA,10,18,70,1,0,0,27.0,1580.67,AFC,2026-05-26,20,2.3,0.55,0.75,0.1,9/8/2015,0.0015,27967349.892567765,8786695.0368,4.0,3.0,0.75,2.0,1.75,0.0,13.0,0.0,6.25,0.25,4.0,22.0,1599.04,UEFA,2026-05-26,20,1.15,1.55,0.3,0.4,9/9/2024,0.0065,14876939.91887294,3957795.57756,1.0,1.0,1.0,5.373809523809523,1.278042328042328,0.022222222222222223,11.536772486772486,0.0,12.646296296296295,2.011904761904762,,-5.0,-18.36999999999989,-0.004999999999999999,1.15,-1.0,0.45,7.373809523809523,3.028042328042328,0.022222222222222223,0,0,3,-3.0,-1.0
6,B,Qatar,Switzerland,2026-06-13 19:00:00+00:00,"Levi's Stadium, Santa Clara",Group,1,Levi's Stadium,Santa Clara,US,10,17,75,0,0,0,55.0,1454.96,AFC,2026-05-26,20,3.05,1.05,0.5,0.3,9/8/2015,0.0005,28965219.95633185,10015296.22025,3.0,3.0,1.0,3.0,2.333333333333333,0.0,10.333333333333334,0.0,7.0,2.333333333333333,3.0,19.0,1649.4,UEFA,2026-05-26,20,1.9,1.1,0.45,0.3,9/9/2023,0.0095,21886137.313956413,1182115.14173,6.0,1.0,0.1666666666666666,5.0,2.25,0.0,13.0,0.0,9.0,1.5,4.0,-36.0,-194.44000000000005,-0.009,1.15,-0.050000000000000044,0.04999999999999999,8.0,4.583333333333333,0.0,0,0,1,0.0,0.0
7,C,Brazil,Morocco,2026-06-13 22:00:00+00:00,"MetLife Stadium, East Rutherford",Group,1,MetLife Stadium,East Rutherford,US,10,22,65,0,0,0,6.0,1761.16,CONMEBOL,2026-05-26,20,2.35,0.85,0.7,0.1,9/9/2025,0.0935,22095034.097108,1209855.67744,8.0,4.0,0.5,7.4,1.2,0.0,12.6,0.0,18.0,1.6,5.0,8.0,1755.87,CAF,2026-05-26,20,1.5,0.45,0.55,0.35,9/9/2024,0.0145,25759863.253529023,2585999.59836,4.0,2.0,0.5,1.7142857142857142,1.2857142857142858,0.1428571428571428,13.857142857142858,0.0,8.714285714285714,2.7142857142857144,7.0,2.0,5.290000000000191,0.079,0.8500000000000001,0.39999999999999997,0.1499999999999999,9.114285714285714,2.4857142857142858,0.1428571428571428,0,0,3,2.0,0.6666666666666666
8,C,Haiti,Scotland,2026-06-14 01:00:00+00:00,"Gillette Stadium, Boston",Group,1,Gillette Stadium,Boston,US,20,20,68,0,0,0,83.0,,CONCACAF,2026-05-26,20,2.65,0.9,0.6,0.2,9/9/2025,0.0005,19987974.52882009,9945914.74458,,,,4.944444444444444,2.0833333333333335,0.0,13.083333333333334,0.0,12.388888888888888,2.75,,43.0,1498.35,UEFA,2026-05-26,20,1.45,1.15,0.45,0.25,9/9/2019,0.0025,23885989.19148476,8012286.39256,2.0,2.0,1.0,5.373809523809523,1.278042328042328,0.022222222222222223,11.536772486772486,0.0,12.646296296296295,2.011904761904762,,-40.0,-1498.35,-0.002,1.2,-0.2499999999999999,0.14999999999999997,10.318253968253966,3.3613756613756616,0.022222222222222223,0,0,1,0.0,0.0
9,E,Germany,Curaçao,2026-06-14 17:00:00+00:00,"NRG Stadium, Houston",Group,1,NRG Stadium,Houston,US,15,30,76,1,0,0,10.0,1730.37,UEFA,2026-05-26,20,3.3,0.55,0.75,0.2,9/9/2019,0.0515,20114630.6718878,1006478.06215,2.0,2.0,1.0,8.333333333333334,1.0,0.0,8.666666666666666,0.0,22.33333333333333,4.0,3.0,82.0,,CONCACAF,2026-05-26,20,0.95,1.5,0.2,0.3,9/9/2025,0.0005,40252293.17691622,9452414.27713,2.0,0.0,0.0,4.944444444444444,2.0833333333333335,0.0,13.083333333333334,0.0,12.388888888888888,2.75,,72.0,1730.37,0.051,2.3499999999999996,-0.95,0.55,13.277777777777779,3.0833333333333335,0.0,0,0,1,-0.0,-0.0
10,F,Netherlands,Japan,2026-06-14 20:00:00+00:00,"AT&T Stadium, Dallas",Group,1,AT&T Stadium,Dallas,US,170,30,65,1,0,0,7.0,1757.87,UEFA,2026-05-26,20,2.5,0.75,0.75,0.05,9/9/2019,0.0335,21922638.70122959,1570368.21352,4.0,1.0,0.25,3.8,2.4,0.2,17.4,0.0,8.0,1.4,5.0,18.0,1660.43,AFC,2026-05-26,20,2.3,0.6,0.7,0.1,9/8/2015,0.0205,26536649.92460422,388936.77493,6.0,2.0,0.3333333333333333,4.75,1.5,0.0,14.5,0.0,10.5,2.25,4.0,11.0,97.43999999999983,0.013000000000000001,0.20000000000000018,0.15000000000000002,0.050000000000000044,8.55,3.9,0.2,0,0,3,4.0,1.3333333333333333
