date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,is_competitive,total_goals,goal_diff,winner,home_avg_gf_5,home_avg_ga_5,home_avg_gf_10,home_avg_ga_10,home_avg_gf_20,home_avg_ga_20,home_win_rate_10,home_draw_rate_10,home_days_rest,away_avg_gf_5,away_avg_ga_5,away_avg_gf_10,away_avg_ga_10,away_avg_gf_20,away_avg_ga_20,away_win_rate_10,away_draw_rate_10,away_days_rest,home_fifa_rank,away_fifa_rank,h2h_played,h2h_home_gd,h2h_avg_gd,time_weight,sample_weight,rank_diff,form_gf_diff,form_ga_diff,win_rate_diff
2010-01-02,Iran,North Korea,1.0,0.0,Friendly,Doha,Qatar,True,False,1.0,1.0,Iran,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,0,0.0,0.0,0.0005034810662605716,0.00010069621325211433,,,,0.0
2010-01-02,Qatar,Mali,0.0,0.0,Friendly,Doha,Qatar,False,False,0.0,0.0,Draw,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,86.0,47.0,0,-1.0,-1.0,0.0005034810662605716,0.00010069621325211433,-39.0,,,0.0
2010-01-02,Syria,Zimbabwe,6.0,0.0,Friendly,Kuala Lumpur,Malaysia,True,False,6.0,6.0,Syria,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,91.0,109.0,0,0.0,0.0,0.0005034810662605716,0.00010069621325211433,18.0,,,0.0
2010-01-02,Yemen,Tajikistan,0.0,1.0,Friendly,Sana'a,Yemen,False,False,1.0,-1.0,Tajikistan,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,130.0,165.0,0,-6.0,-3.0,0.0005034810662605716,0.00010069621325211433,35.0,,,0.0
2010-01-03,Angola,Gambia,1.0,1.0,Friendly,Vila Real de Santo António,Portugal,True,False,2.0,0.0,Draw,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,95.0,116.0,0,1.0,1.0,0.0005041192380594405,0.0001008238476118881,21.0,,,0.0
2010-01-04,Egypt,Mali,1.0,0.0,Friendly,Dubai,United Arab Emirates,True,False,1.0,1.0,Egypt,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,24.0,47.0,0,0.0,0.0,0.0005047582187531664,0.00010095164375063329,23.0,,,0.0
2010-01-04,Tanzania,Côte d'Ivoire,0.0,1.0,Friendly,Dar es Salaam,Tanzania,False,False,1.0,-1.0,Côte d'Ivoire,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,106.0,16.0,0,-1.0,-1.0,0.0005047582187531664,0.00010095164375063329,-90.0,,,0.0
2010-01-05,Ghana,Malawi,0.0,0.0,Friendly,Manzini,Swaziland,True,False,0.0,0.0,Draw,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,34.0,99.0,0,1.0,1.0,0.0005053980093670384,0.00010107960187340768,65.0,,,0.0
2010-01-06,Bahrain,Hong Kong,4.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False,True,4.0,4.0,Bahrain,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,60.0,143.0,0,1.0,1.0,0.0005060386109276461,0.0005060386109276461,83.0,,,0.0
2010-01-06,Benin,Libya,1.0,0.0,Friendly,Cotonou,Benin,False,False,1.0,1.0,Benin,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,59.0,115.0,0,0.0,0.0,0.0005060386109276461,0.00010120772218552923,56.0,,,0.0
2010-01-06,China PR,Syria,0.0,0.0,AFC Asian Cup qualification,Hangzhou,China PR,False,True,0.0,0.0,Draw,,,,,,,0.0,0.0,,6.0,0.0,6.0,0.0,6.0,0.0,0.5,0.0,4.0,93.0,91.0,0,2.0,2.0,0.0005060386109276461,0.0005060386109276461,-2.0,,,-0.5
2010-01-06,Gabon,Mozambique,2.0,0.0,Friendly,Bloemfontein,South Africa,True,False,2.0,2.0,Gabon,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,48.0,72.0,0,0.0,0.0,0.0005060386109276461,0.00010120772218552923,24.0,,,0.0
2010-01-06,Indonesia,Oman,1.0,2.0,AFC Asian Cup qualification,Jakarta,Indonesia,False,True,3.0,-1.0,Oman,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,120.0,79.0,0,4.0,3.0,0.0005060386109276461,0.0005060386109276461,-41.0,,,0.0
2010-01-06,Kuwait,Australia,2.0,2.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,True,4.0,0.0,Draw,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,104.0,21.0,0,-2.0,-2.0,0.0005060386109276461,0.0005060386109276461,-83.0,,,0.0
2010-01-06,Lebanon,Vietnam,1.0,1.0,AFC Asian Cup qualification,Sidon,Lebanon,False,True,2.0,0.0,Draw,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,148.0,123.0,0,0.0,0.0,0.0005060386109276461,0.0005060386109276461,-25.0,,,0.0
2010-01-06,Singapore,Iran,1.0,3.0,AFC Asian Cup qualification,Singapore,Singapore,False,True,4.0,-2.0,Iran,,,,,,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,4.0,110.0,,0,-0.0,-0.0,0.0005060386109276461,0.0005060386109276461,,,,-0.5
2010-01-06,Thailand,Jordan,0.0,0.0,AFC Asian Cup qualification,Bangkok,Thailand,False,True,0.0,0.0,Draw,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,105.0,111.0,0,1.0,1.0,0.0005060386109276461,0.0005060386109276461,6.0,,,0.0
2010-01-06,United Arab Emirates,Malaysia,1.0,0.0,AFC Asian Cup qualification,Dubai,United Arab Emirates,False,True,1.0,1.0,United Arab Emirates,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,112.0,160.0,0,-1.0,-1.0,0.0005060386109276461,0.0005060386109276461,48.0,,,0.0
2010-01-06,Yemen,Japan,2.0,3.0,AFC Asian Cup qualification,Sana'a,Yemen,False,True,5.0,-1.0,Japan,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,,,,,,,0.0,0.0,,130.0,43.0,0,-0.0,-0.0,0.0005060386109276461,0.0005060386109276461,-87.0,,,0.0
2010-01-07,Rwanda,Côte d'Ivoire,0.0,2.0,Friendly,Dar es Salaam,Tanzania,True,False,2.0,-2.0,Côte d'Ivoire,,,,,,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,3.0,102.0,16.0,0,1.0,1.0,0.000506680024462879,0.00010133600489257581,-86.0,,,-0.5
2010-01-09,Kenya,Cameroon,1.0,3.0,Friendly,Nairobi,Kenya,False,False,4.0,-2.0,Cameroon,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,98.0,11.0,0,-2.0,-2.0,0.0005079652915752997,0.00010159305831505995,-87.0,,,0.0
2010-01-09,Tunisia,Gambia,1.0,2.0,Friendly,Radès,Tunisia,False,False,3.0,-1.0,Gambia,,,,,,,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,6.0,53.0,116.0,0,-2.0,-2.0,0.0005079652915752997,0.00010159305831505995,63.0,,,0.0
2010-01-09,Zambia,South Korea,4.0,2.0,Friendly,Johannesburg,South Africa,True,False,6.0,2.0,Zambia,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,84.0,,0,-1.0,-1.0,0.0005079652915752997,0.00010159305831505995,,,,0.0
