team,player,goals_12mo,n_pens_12mo,last_goal_date,goals_24mo
Norway,Erling Haaland,14,0,2025-11-16,23
Nigeria,Victor Osimhen,9,0,2026-01-10,12
Austria,Marko Arnautović,8,1,2025-11-15,11
Netherlands,Memphis Depay,8,2,2025-11-14,10
Panama,Ismael Díaz,8,2,2025-10-14,8
Portugal,Cristiano Ronaldo,7,1,2025-10-14,13
Spain,Mikel Oyarzabal,7,2,2025-11-18,11
Egypt,Mohamed Salah,7,2,2026-01-10,9
Spain,Mikel Merino,7,0,2025-10-14,9
France,Kylian Mbappé,7,3,2025-11-13,8
England,Harry Kane,6,1,2025-11-16,14
Belgium,Kevin De Bruyne,6,2,2025-10-13,9
Italy,Moise Kean,6,0,2026-03-31,9
Bosnia and Herzegovina,Edin Džeko,6,0,2026-03-26,8
Croatia,Andrej Kramarić,6,0,2025-09-08,8
Costa Rica,Alonso Martínez,6,0,2025-10-13,6
Republic of Ireland,Troy Parrott,6,2,2026-03-26,6
Wales,Harry Wilson,5,3,2025-11-18,9
Algeria,Mohamed Amoura,5,2,2025-10-14,8
Gabon,Pierre-Emerick Aubameyang,5,0,2025-12-28,8
Italy,Mateo Retegui,5,1,2025-10-14,7
Costa Rica,Manfred Ugalde,5,3,2025-10-13,6
Denmark,Rasmus Højlund,5,1,2025-11-18,6
Haiti,Duckens Nazon,5,0,2025-10-09,6
Hungary,Barnabás Varga,5,0,2025-11-16,6
Morocco,Brahim Díaz,5,1,2026-01-09,6
Belgium,Jérémy Doku,5,0,2025-11-18,5
Mali,Lassine Sinayoko,5,2,2026-01-03,5
Senegal,Sadio Mané,5,0,2026-01-14,5
Sweden,Viktor Gyökeres,4,1,2026-03-31,13
Netherlands,Cody Gakpo,4,3,2025-11-17,10
Austria,Michael Gregoritsch,4,0,2025-11-18,8
Gabon,Denis Bouanga,4,0,2025-12-31,7
Morocco,Ayoub El Kaabi,4,0,2025-12-29,7
Poland,Robert Lewandowski,4,0,2026-03-26,7
Netherlands,Donyell Malen,4,0,2025-11-17,6
Switzerland,Breel Embolo,4,0,2025-11-15,6
Croatia,Ivan Perišić,4,1,2025-11-17,5
Curaçao,Gervane Kastaneer,4,0,2025-06-10,5
Gambia,Adama Sidibeh,4,0,2025-10-14,5
Norway,Thelo Aasgaard,4,1,2025-09-09,5
Serbia,Aleksandar Mitrović,4,2,2025-10-14,5
Algeria,Riyad Mahrez,4,1,2025-12-28,4
Bermuda,Djair Parfitt,4,0,2025-11-18,4
Colombia,Luis Suárez,4,0,2025-09-09,4
Côte d'Ivoire,Amad Diallo,4,0,2026-01-06,4
DR Congo,Cédric Bakambu,4,0,2025-12-27,4
Denmark,Mikkel Damsgaard,4,0,2026-03-26,4
Germany,Nick Woltemade,4,0,2025-11-17,4
Guatemala,Óscar Santis,4,0,2025-11-18,4
Iceland,Albert Guðmundsson,4,0,2025-11-13,4
Kenya,Ryan Ogam,4,0,2025-10-09,4
Nigeria,Akor Adams,4,0,2026-01-10,4
Senegal,Nicolas Jackson,4,1,2025-12-23,4
South Africa,Oswin Appollis,4,1,2025-12-29,4
Suriname,Richonell Margaret,4,0,2025-11-13,4
Trinidad and Tobago,Dante Sealy,4,0,2025-10-10,4
Türkiye,Kerem Aktürkoğlu,3,0,2026-03-31,9
Bolivia,Miguel Terceros,3,2,2026-03-26,8
Norway,Alexander Sørloth,3,0,2025-11-13,8
Jordan,Ali Olwan,3,1,2025-06-05,7
Austria,Marcel Sabitzer,3,1,2025-09-09,6
Gambia,Musa Barrow,3,0,2025-10-14,6
Greece,Christos Tzolis,3,0,2025-11-15,6
Mali,Kamory Doumbia,3,1,2025-10-08,6
Portugal,Bruno Fernandes,3,2,2025-11-16,6
Belgium,Youri Tielemans,3,1,2025-09-04,5
Denmark,Gustav Isaksen,3,0,2026-03-26,5
Italy,Giacomo Raspadori,3,0,2025-09-08,5
Mozambique,Geny Catamo,3,1,2025-12-31,5
Republic of Ireland,Evan Ferguson,3,0,2025-10-14,5
Saint Vincent and the Grenadines,Oalex Anderson,3,0,2025-06-10,5
Saudi Arabia,Firas Al-Buraikan,3,1,2025-10-08,5
Faroe Islands,Hanus Sørensen,3,0,2025-10-12,4
France,Michael Olise,3,0,2025-11-13,4
Libya,Ezoo El Maremi,3,0,2025-10-08,4
Morocco,Ismael Saibari,3,0,2026-01-09,4
Namibia,Peter Shalulile,3,0,2025-09-09,4
South Africa,Lyle Foster,3,0,2025-12-29,4
Tunisia,Mohamed Ali Ben Romdhane,3,1,2025-10-10,4
Türkiye,Kenan Yıldız,3,0,2025-10-14,4
Ukraine,Oleksiy Hutsulyak,3,0,2025-11-16,4
Bosnia and Herzegovina,Haris Tabaković,3,0,2026-03-31,3
Burkina Faso,Edmond Tapsoba,3,0,2025-12-24,3
Burkina Faso,Pierre Landry Kaboré,3,0,2025-10-12,3
Canada,Tajon Buchanan,3,0,2025-06-24,3
Costa Rica,Warren Madrigal,3,0,2025-06-10,3
Curaçao,Kenji Gorré,3,0,2025-10-14,3
Côte d'Ivoire,Yan Diomande,3,0,2026-01-06,3
Egypt,Omar Marmoush,3,1,2026-01-10,3
Finland,Benjamin Källman,3,0,2025-10-09,3
Gambia,Abdoulie Manneh,3,0,2025-10-14,3
Germany,Serge Gnabry,3,0,2025-11-17,3
Guatemala,Olger Escobar,3,0,2025-11-18,3
Guatemala,Oscar Santis,3,0,2025-06-06,3
Guinea,Abdoul Karim Traoré,3,0,2025-10-14,3
Haiti,Don Deedson Louicius,3,0,2025-11-18,3
Haiti,Frantzdy Pierrot,3,0,2025-11-13,3
Honduras,Romell Quioto,3,0,2025-10-13,3
Israel,Dor Peretz,3,0,2025-09-08,3
Italy,Pio Esposito,3,0,2025-11-16,3
Jamaica,Jon Russell,3,0,2025-09-09,3
Jamaica,Warner Brown,3,0,2025-06-10,3
Kosovo,Fisnik Asllani,3,0,2026-03-26,3
Liberia,Ayouba Kosiah,3,1,2025-10-09,3
Mexico,César Montes,3,0,2025-06-18,3
Mexico,Raúl Jiménez,3,0,2025-07-06,3
Niger,Daniel Sosah,3,0,2025-10-12,3
Nigeria,Ademola Lookman,3,0,2026-01-05,3
Panama,Tomás Rodríguez,3,0,2025-06-24,3
Portugal,João Neves,3,0,2025-11-16,3
Senegal,Cherif Ndiaye,3,1,2025-12-30,3
Senegal,Pape Gueye,3,0,2026-01-03,3
Spain,Pedri,3,0,2025-09-07,3
São Tomé and Príncipe,Ronaldo Afonso,3,3,2025-10-13,3
Tunisia,Elias Saad,3,0,2025-10-10,3
Uganda,Rogers Mato,3,0,2025-12-30,3
Ukraine,Ruslan Malinovskyi,3,0,2025-10-13,3
United States,Diego Luna,3,0,2025-07-02,3
United States,Malik Tillman,3,0,2025-06-22,3
Germany,Florian Wirtz,2,0,2025-09-07,7
Ghana,Jordan Ayew,2,0,2025-10-08,7
Venezuela,Salomón Rondón,2,0,2025-09-09,7
Argentina,Lionel Messi,2,0,2025-09-04,6
Czechia,Patrik Schick,2,1,2026-03-26,6
Scotland,Scott McTominay,2,0,2025-11-18,6
Slovakia,David Strelec,2,0,2026-03-26,6
Gambia,Yankuba Minteh,2,0,2025-10-10,5
Georgia,Khvicha Kvaratskhelia,2,0,2025-09-07,5
Jamaica,Shamar Nicholson,2,0,2025-10-14,5
Montenegro,Nikola Krstović,2,1,2025-11-17,5
Netherlands,Denzel Dumfries,2,0,2025-09-04,5
Netherlands,Tijjani Reijnders,2,0,2025-11-17,5
Netherlands,Xavi Simons,2,0,2025-11-17,5
Norway,Antonio Nusa,2,0,2025-11-16,5
Panama,José Fajardo,2,0,2025-11-13,5
Romania,Denis Drăguș,2,0,2025-09-09,5
Armenia,Eduard Spertsyan,2,1,2025-11-16,4
Belgium,Maxim De Cuyper,2,0,2025-09-04,4
Benin,Steve Mounié,2,0,2025-09-09,4
Canada,Jonathan David,2,1,2025-06-29,4
Cape Verde,Dailon Livramento,2,0,2025-10-13,4
Colombia,Jhon Córdoba,2,0,2025-09-09,4
Costa Rica,Josimar Alcócer,2,0,2025-06-18,4
Czechia,Tomáš Souček,2,0,2025-11-17,4
Dominican Republic,Dorny Romero,2,0,2025-06-10,4
Germany,Joshua Kimmich,2,1,2025-10-10,4
Greece,Anastasios Bakasetas,2,0,2025-11-15,4
Guatemala,Rubio Rubin,2,0,2025-06-29,4
Italy,Sandro Tonali,2,0,2026-03-26,4
Japan,Daichi Kamada,2,0,2025-06-10,4
Kenya,Michael Olunga,2,1,2025-09-09,4
Lithuania,Gvidas Gineitis,2,1,2025-09-07,4
Nicaragua,Jaime Moreno,2,0,2025-11-13,4
North Macedonia,Enis Bardhi,2,0,2025-10-13,4
Poland,Piotr Zieliński,2,0,2026-03-26,4
Romania,Dennis Man,2,0,2025-11-18,4
South Korea,Oh Hyeon-gyu,2,0,2025-06-10,4
Spain,Ferran Torres,2,0,2025-11-15,4
Spain,Lamine Yamal,2,1,2025-06-05,4
Türkiye,Merih Demiral,2,0,2025-10-14,4
Wales,Brennan Johnson,2,0,2025-11-18,4
Albania,Kristjan Asllani,2,1,2025-11-13,3
Austria,Konrad Laimer,2,0,2025-10-09,3
Austria,Stefan Posch,2,0,2025-10-09,3
Burkina Faso,Dango Ouattara,2,1,2025-09-05,3
Costa Rica,Francisco Calvo,2,1,2025-10-13,3
Croatia,Ante Budimir,2,1,2025-06-09,3
Curaçao,Juninho Bacuna,2,0,2025-11-13,3
Côte d'Ivoire,Evann Guessand,2,0,2025-12-31,3
Denmark,Patrick Dorgu,2,0,2025-11-18,3
England,Eberechi Eze,2,0,2025-11-13,3
Estonia,Mattias Käit,2,0,2025-10-14,3
Germany,Leroy Sané,2,0,2025-11-17,3
Greece,Konstantinos Karetsas,2,0,2025-11-15,3
Honduras,Anthony Lozano,2,0,2025-10-13,3
Iceland,Victor Pálsson,2,0,2025-10-13,3
Iceland,Ísak Bergmann Jóhannesson,2,0,2025-09-05,3
Mali,Dorgeles Nene,2,0,2025-10-12,3
Nigeria,Raphael Onyedika,2,0,2025-12-30,3
Panama,Eduardo Guerrero,2,1,2025-06-16,3
Portugal,Francisco Conceição,2,0,2025-11-16,3
Portugal,João Félix,2,0,2025-09-06,3
Saint Lucia,Caniggia Elva,2,2,2025-06-10,3
Scotland,Ryan Christie,2,0,2025-11-15,3
Senegal,Habib Diallo,2,0,2025-12-30,3
Senegal,Ismaïla Sarr,2,0,2025-10-10,3
Senegal,Pape Matar Sarr,2,0,2025-09-09,3
Serbia,Dušan Vlahović,2,0,2025-10-14,3
Switzerland,Dan Ndoye,2,0,2025-11-15,3
Trinidad and Tobago,Nathaniel James,2,0,2025-11-18,3
Tunisia,Elias Achouri,2,0,2025-12-23,3
Uganda,Allan Okello,2,1,2025-09-08,3
Uruguay,Rodrigo Aguirre,2,0,2025-09-04,3
Wales,Daniel James,2,0,2026-03-26,3
Wales,Kieffer Moore,2,0,2025-09-04,3
Algeria,Baghdad Bounedjah,2,0,2025-09-04,2
Algeria,Ibrahim Maza,2,0,2025-12-31,2
Belgium,Charles De Ketelaere,2,0,2025-11-18,2
Belgium,Hans Vanaken,2,0,2025-11-18,2
Belgium,Thomas Meunier,2,0,2025-10-13,2
Bermuda,Reggie Lambe,2,0,2025-06-10,2
Bolivia,Moisés Paniagua,2,0,2026-03-31,2
Cameroon,Christian Kofane,2,0,2026-01-04,2
Canada,Nathan Saliba,2,0,2025-06-21,2
Cape Verde,Willy Semedo,2,0,2025-10-13,2
Chad,Célestin Ecua,2,0,2025-10-12,2
Croatia,Franjo Ivanović,2,0,2025-06-06,2
Croatia,Kristijan Jakić,2,0,2025-11-17,2
Croatia,Nikola Vlašić,2,0,2025-11-17,2
Curaçao,Jeremy Antonisse,2,0,2025-06-21,2
Curaçao,Jordi Paulina,2,1,2025-11-13,2
Curaçao,Tahith Chong,2,0,2025-09-09,2
Cyprus,Loizos Loizou,2,0,2025-10-12,2
Czechia,Adam Karabec,2,0,2025-11-17,2
Czechia,Ladislav Krejčí,2,0,2026-03-31,2
Côte d'Ivoire,Bazoumana Touré,2,0,2026-01-06,2
Côte d'Ivoire,Franck Kessié,2,0,2025-10-14,2
DR Congo,Gaël Kakuta,2,1,2025-12-30,2
DR Congo,Nathanaël Mbuku,2,0,2025-12-30,2
DR Congo,Yoane Wissa,2,0,2025-09-09,2
Denmark,Anders Dreyer,2,0,2025-10-09,2
Denmark,Joachim Andersen,2,0,2026-03-31,2
Dominica,Audel Laville,2,0,2025-06-04,2
Dominican Republic,Peter González,2,0,2025-06-14,2
El Salvador,Brayan Gil,2,0,2025-06-10,2
Eswatini,Justice Figuareido,2,0,2025-10-08,2
Faroe Islands,Martin Agnarsson,2,0,2025-10-12,2
Faroe Islands,Árni Frederiksberg,2,1,2025-10-09,2
France,Jean-Philippe Mateta,2,0,2025-11-16,2
