team,polymarket_win_prob,volume,liquidity
Iraq,0.0005,27100405.902710937,12540030.87315
Panama,0.0005,17572894.87575688,12474024.01148
Haiti,0.0005,30243876.771820087,12336800.44316
Bosnia and Herzegovina,0.0025,15429623.743640592,12185552.67423
Jordan,0.0005,30491563.861882776,12136620.99042
Curaçao,0.0005,40478159.08691622,11817151.31849
Cape Verde,0.0005,38432024.907164045,11701321.53564
Qatar,0.0005,39948068.33833187,11696524.75332
New Zealand,0.0005,44532020.9426452,11625450.55255
Tunisia,0.0015,29391791.77368601,11471749.07492
Algeria,0.0015,28239288.37321545,11396834.0293
Australia,0.0015,30805679.781567823,11156145.40029
Saudi Arabia,0.0005,41662075.09288373,10671663.57059
Canada,0.0035,31337437.439611945,10375073.94099
Czechia,0.0025,14117271.48705126,9793403.99415
Ghana,0.0025,25894584.42145593,9708335.69227
Scotland,0.0025,32705848.8435449,9394004.72507
Egypt,0.0025,32168272.361304924,9250351.47553
South Africa,0.0005,33632160.067894265,8864670.94724
Uzbekistan,0.0005,55085023.62841756,8837284.5858
Sweden,0.0055,18599416.254318096,8699749.27881
Uruguay,0.0115,26349489.9734744,8574225.82953
Paraguay,0.0025,28393246.73639659,8130593.29788
Iran,0.0015,33613807.58679003,8029567.98772
Colombia,0.0175,23402695.58340271,6547994.06674
Senegal,0.0065,26285810.505547408,6346030.22289
Ecuador,0.0085,30889821.475041226,6113841.15021
United States,0.0115,43043518.28281369,5659134.10587
DR Congo,0.0005,28580574.240409963,4908559.82683
South Korea,0.0025,34409048.51476766,4889233.4459
Côte d'Ivoire,0.0025,37341924.48004221,4883679.32266
Belgium,0.0195,24534004.61698235,4844593.84191
Austria,0.0055,31259732.603484344,4067998.38695
Croatia,0.0085,31873680.142484017,2760855.93035
Morocco,0.0155,31411109.262830675,2499164.96694
Türkiye,0.0085,24575505.44328207,1885141.46181
Brazil,0.0835,25008178.52199711,1784507.73481
Switzerland,0.0105,26073075.441034444,1776188.5958
England,0.1115,23161618.425875317,1589244.57264
Norway,0.0275,27764096.624336567,1307952.64609
Mexico,0.0115,30973392.815340675,1303629.03973
Argentina,0.0875,24923173.838228773,1273962.38631
Netherlands,0.0395,27962704.168460354,1179376.92228
Portugal,0.0955,28322324.12199088,1029822.07314
France,0.1705,34172486.71142624,848266.71469
Germany,0.0555,25088177.70560349,790796.72225
Japan,0.0175,30174143.06831731,711874.41422
Spain,0.1635,27755251.28145248,702539.36994
