team,fifa_rank,fifa_points,confederation,fifa_rank_date,matches_played,avg_goals_for,avg_goals_against,win_rate,draw_rate,last_match,polymarket_win_prob,volume,liquidity,shootouts_played,shootouts_won,shootout_win_rate,wc22_avg_corners,wc22_avg_yellows,wc22_avg_reds,wc22_avg_fouled,wc22_avg_possession,wc22_avg_shots,wc22_avg_offsides,wc22_matches
Mexico,15.0,1681.03,CONCACAF,2026-05-26,20,2.25,0.7,0.7,0.15,9/9/2009,0.0115,30973392.815340675,1303629.03973,5.0,4.0,0.8,5.333333333333333,2.3333333333333335,0.0,17.0,,14.0,4.333333333333333,3.0
South Korea,25.0,1588.66,AFC,2026-05-26,20,3.15,0.55,0.7,0.25,9/8/2015,0.0025,34409048.51476766,4889233.4459,5.0,3.0,0.6,6.0,1.5,0.0,11.25,,12.25,1.75,4.0
Canada,30.0,1556.48,CONCACAF,2026-05-26,20,2.0,1.15,0.4,0.25,9/9/2018,0.0035,31337437.439611945,10375073.94099,4.0,1.0,0.25,4.0,2.6666666666666665,0.0,11.0,,11.666666666666666,2.6666666666666665,3.0
United States,16.0,1673.13,CONCACAF,2026-05-26,20,1.5,0.9,0.5,0.3,9/9/2009,0.0115,43043518.28281369,5659134.10587,5.0,3.0,0.6,5.5,1.25,0.0,11.25,,11.5,1.25,4.0
Australia,27.0,1580.67,AFC,2026-05-26,20,2.3,0.55,0.75,0.1,9/8/2015,0.0015,30805679.781567823,11156145.40029,4.0,3.0,0.75,2.0,1.75,0.0,13.0,,6.25,0.25,4.0
Qatar,55.0,1454.96,AFC,2026-05-26,20,3.05,1.05,0.5,0.3,9/8/2015,0.0005,39948068.33833187,11696524.75332,3.0,3.0,1.0,3.0,2.3333333333333335,0.0,10.333333333333334,,7.0,2.3333333333333335,3.0
Brazil,6.0,1761.16,CONMEBOL,2026-05-26,20,2.35,0.85,0.7,0.1,9/9/2025,0.0835,25008178.52199711,1784507.73481,8.0,4.0,0.5,7.4,1.2,0.0,12.6,,18.0,1.6,5.0
Haiti,83.0,,CONCACAF,2026-05-26,20,2.65,0.9,0.6,0.2,9/9/2025,0.0005,30243876.771820087,12336800.44316,,,,,,,,,,,
Germany,10.0,1730.37,UEFA,2026-05-26,20,3.3,0.55,0.75,0.2,9/9/2019,0.0555,25088177.70560349,790796.72225,2.0,2.0,1.0,8.333333333333334,1.0,0.0,8.666666666666666,,22.333333333333332,4.0,3.0
Netherlands,7.0,1757.87,UEFA,2026-05-26,20,2.5,0.75,0.75,0.05,9/9/2019,0.0395,27962704.168460354,1179376.92228,4.0,1.0,0.25,3.8,2.4,0.2,17.4,,8.0,1.4,5.0
Côte d'Ivoire,34.0,1532.98,CAF,2026-05-26,20,1.75,0.85,0.5,0.35,9/9/2025,0.0025,37341924.48004221,4883679.32266,7.0,3.0,0.42857142857142855,,,,,,,,
Sweden,38.0,1514.77,UEFA,2026-05-26,20,1.2,0.9,0.4,0.25,9/9/2023,0.0055,18599416.254318096,8699749.27881,2.0,1.0,0.5,,,,,,,,
Spain,2.0,1876.4,UEFA,2026-05-26,20,3.2,0.55,0.8,0.15,9/9/2009,0.1635,27755251.28145248,702539.36994,9.0,5.0,0.5555555555555556,5.25,0.5,0.0,10.25,,12.75,2.75,4.0
