team,matches,xg_for,xg_against
Argentina,5,2.22,0.7859999999999999
Croatia,3,2.183333333333333,1.4566666666666663
Germany,5,1.968,0.8779999999999999
Portugal,5,1.9120000000000001,0.9079999999999998
Spain,7,1.832857142857143,1.01
Austria,4,1.7449999999999999,1.615
Czechia,3,1.7066666666666668,1.4733333333333334
Colombia,5,1.698,0.506
Mexico,3,1.6199999999999999,0.6933333333333334
Brazil,4,1.58,0.81
Uruguay,5,1.532,0.5740000000000001
France,6,1.53,0.8683333333333333
Türkiye,5,1.484,1.816
Venezuela,4,1.42,1.4775
Poland,3,1.3866666666666667,1.97
Netherlands,6,1.37,1.09
United States,3,1.36,0.8266666666666667
Ecuador,4,1.3599999999999999,1.095
Switzerland,5,1.356,0.99
Canada,5,1.29,1.486
Hungary,3,1.2166666666666666,1.3
Belgium,4,1.1425,0.8474999999999999
Slovakia,4,1.1099999999999999,1.48
Georgia,4,1.095,2.87
Denmark,4,1.0825,1.21
Ukraine,3,1.0266666666666666,0.98
Paraguay,3,0.96,1.616666666666667
Romania,4,0.9025,1.575
England,7,0.88,1.0114285714285713
Italy,4,0.8375,1.315
Albania,3,0.8133333333333334,1.9166666666666667
Slovenia,4,0.805,1.5175
Panama,4,0.77,1.4
Serbia,3,0.7033333333333333,0.8533333333333334
Jamaica,3,0.6133333333333334,1.7933333333333332
Peru,3,0.5666666666666668,1.6966666666666665
Chile,3,0.56,1.5166666666666668
Bolivia,3,0.32,2.223333333333333
Scotland,3,0.3166666666666667,1.5
Costa Rica,3,0.19333333333333336,1.9366666666666665
