date,home_team,away_team,market,line,over_price,under_price,bookmaker
2026-06-11,Mexico,South Africa,corners,8.5,1.714,2.0,manual
2026-06-11,South Korea,Czechia,corners,8.5,1.769,1.952,manual
2026-06-12,Canada,Bosnia and Herzegovina,corners,8.5,2.0,1.741,manual
2026-06-12,United States,Paraguay,corners,9.5,2.05,1.69,manual
2026-06-13,Qatar,Switzerland,corners,9.5,1.952,1.8,manual
2026-06-13,Brazil,Morocco,corners,8.5,1.833,1.87,manual
2026-06-13,Haiti,Scotland,corners,8.5,1.769,1.952,manual
2026-06-14,Australia,Türkiye,corners,8.5,1.69,2.05,manual
2026-06-14,Germany,Curaçao,corners,9.5,1.833,1.909,manual
2026-06-14,Netherlands,Japan,corners,9.5,1.952,1.769,manual
2026-06-14,Côte d'Ivoire,Ecuador,corners,8.5,1.833,1.909,manual
2026-06-14,Sweden,Tunisia,corners,9.5,1.8,1.909,manual
2026-06-15,Spain,Cape Verde,corners,9.5,1.8,1.909,manual
2026-06-15,Belgium,Egypt,corners,9.5,1.833,1.909,manual
2026-06-15,Saudi Arabia,Uruguay,corners,8.5,1.69,2.10,manual
2026-06-15,Iran,New Zealand,corners,8.5,1.952,1.769,manual
2026-06-16,France,Senegal,corners,9.5,2.05,1.69,manual
2026-06-16,Iraq,Norway,corners,8.5,1.80,1.909,manual
2026-06-16,Argentina,Algeria,corners,8.5,1.714,2.0,manual
2026-06-17,Austria,Jordan,corners,9.5,2.05,1.69,manual
2026-06-17,Portugal,DR Congo,corners,9.5,1.952,1.80,manual
2026-06-17,England,Croatia,corners,8.5,1.714,2.0,manual
2026-06-17,Ghana,Panama,corners,8.5,1.833,1.870,manual
2026-06-17,Uzbekistan,Colombia,corners,8.5,1.741,2.0,manual
2026-06-18,Czechia,South Africa,corners,8.5,1.80,1.909,manual
2026-06-18,Switzerland,Bosnia and Herzegovina,corners,8.5,1.69,2.05,manual
2026-06-18,Canada,Qatar,corners,9.5,2.05,1.69,manual
2026-06-18,Mexico,South Korea,corners,8.5,1.769,1.952,manual
2026-06-19,United States,Australia,corners,8.5,1.714,2.0,manual
2026-06-19,Scotland,Morocco,corners,8.5,1.80,1.909,manual
2026-06-19,Brazil,Haiti,corners,10.5,1.870,1.833,manual
2026-06-19,Türkiye,Paraguay,corners,8.5,1.80,1.909,manual
2026-06-20,Netherlands,Sweden,corners,9.5,2.05,1.69,manual
2026-06-20,Germany,Côte d'Ivoire,corners,9.5,2.05,1.714,manual
2026-06-20,Ecuador,Curaçao,corners,8.5,1.69,2.10,manual
2026-06-21,Tunisia,Japan,corners,8.5,1.769,1.952,manual
2026-06-21,Spain,Saudi Arabia,corners,9.5,1.714,2.0,manual
2026-06-21,Belgium,Iran,corners,9.5,2.05,1.714,manual
2026-06-21,Uruguay,Cape Verde,corners,9.5,2.05,1.69,manual
2026-06-21,New Zealand,Egypt,corners,8.5,1.769,1.952,manual
2026-06-22,Argentina,Austria,corners,8.5,2.0,1.741,manual
2026-06-22,France,Iraq,corners,9.5,1.952,1.769,manual
2026-06-22,Norway,Senegal,corners,9.5,2.05,1.714,manual
2026-06-22,Jordan,Algeria,corners,8.5,1.714,2.05,manual
2026-06-23,Portugal,Uzbekistan,corners,9.5,2.0,1.741,manual
2026-06-23,England,Ghana,corners,8.5,1.69,2.05,manual
2026-06-23,Panama,Croatia,corners,8.5,1.667,2.10,manual
2026-06-23,Colombia,DR Congo,corners,8.5,1.833,1.909,manual
